Density,Caging,pixels/cm,grid cm2,whole squares,squares covered,percent coverage (%)
3, +C,152,0.5,71,42,59.15492958
3, +C,152,0.5,33,24,72.72727273
3, +C,152,0.5,37,23,62.16216216
3, +C,145.5,NA,NA,NA,NA
3, +C,145.5,0.5,76,21,27.63157895
3, +C,145.5,0.5,95,50,52.63157895
3, +C,144,0.5,60,26,43.33333333
3, +C,144,0.5,69,30,43.47826087
3, +C,144,0.5,38,20,52.63157895
3, -C,136,0.5,59,30,50.84745763
3, -C,127,0.5,97,55,56.70103093
3, -C,NA,NA,NA,NA,NA
3, -C,NA,NA,NA,NA,NA
3, -C,144,0.3,49,23,46.93877551
3, -C,144,0.5,62,38,61.29032258
3, -C,144,0.1,30,21,70
7, +C,134.67,0.5,96,72,75
7, +C,134.67,0.5,58,28,48.27586207
7, +C,134.67,0.5,75,37,49.33333333
7, +C,149.34,0.7,73,34,46.57534247
7, +C,149.34,0.5,42,22,52.38095238
7, +C,149.34,0.5,45,35,77.77777778
7, +C,142.67,0.5,100,47,47
7, +C,142.67,0.5,48,27,56.25
7, +C,142.67,0.5,74,34,45.94594595
7, -C,150.67,0.5,34,11,32.35294118
7, -C,150.67,0.5,56,20,35.71428571
7, -C,150.67,0.5,27,16,59.25925926
7, -C,141.33,0.5,56,25,44.64285714
7, -C,141.33,0.5,53,30,56.60377358
7, -C,141.33,0.5,75,44,58.66666667
7, -C,131,0.5,56,10,17.85714286
7, -C,131,0.5,55,17,30.90909091
7, -C,131,0.5,64,21,32.8125
10, +C,151.33,0.5,86,42,48.8372093
10, +C,151.33,0.5,54,25,46.2962963
10, +C,151.33,0.5,45,27,60
10, +C,147,0.5,52,38,73.07692308
10, +C,147,0.5,39,24,61.53846154
10, +C,147,0.5,44,32,72.72727273
10, +C,134.67,0.5,68,44,64.70588235
10, +C,134.67,0.5,54,26,48.14814815
10, +C,134.67,0.5,84,42,50
10, -C,147.33,0.5,84,30,35.71428571
10, -C,147.33,0.5,70,35,50
10, -C,147.33,0.5,30,10,33.33333333
10, -C,150,0.5,63,26,41.26984127
10, -C,150,0.5,47,17,36.17021277
10, -C,150,0.5,47,19,40.42553191
10, -C,148.67,0.4,53,18,33.96226415
10, -C,148.67,0.5,72,31,43.05555556
10, -C,148.67,0.5,77,54,70.12987013
15, +C,136.67,0.5,83,44,53.01204819
15, +C,136.67,0.5,78,38,48.71794872
15, +C,136.67,0.5,76,62,81.57894737
15, +C,138.67,0.5,84,42,50
15, +C,138.67,0.5,76,38,50
15, +C,138.67,0.5,56,31,55.35714286
15, +C,158.62,0.5,75,53,70.66666667
15, +C,158.62,0.5,68,51,75
15, +C,158.62,0.5,43,25,58.13953488
15, -C,131.5,0.5,90,46,51.11111111
15, -C,131.5,0.5,90,50,55.55555556
15, -C,131.5,0.5,40,19,47.5
15, -C,142.5,0.5,56,19,33.92857143
15, -C,142.5,0.5,41,21,51.2195122
15, -C,142.5,0.5,69,23,33.33333333
15, -C,148,0.5,89,41,46.06741573
15, -C,148,0.5,53,34,64.1509434
15, -C,148,0.5,71,32,45.07042254
20, +C,148.67,0.5,40,26,65
20, +C,148.67,0.5,43,28,65.11627907
20, +C,148.67,0.5,61,48,78.68852459
20, +C,147.33,0.5,74,59,79.72972973
20, +C,147.33,0.5,79,53,67.08860759
20, +C,147.33,0.5,82,69,84.14634146
20, +C,141.33,0.5,94,79,84.04255319
20, +C,141.33,0.5,61,53,86.8852459
20, +C,141.33,0.5,96,89,92.70833333
20, -C,141.33,0.5,50,23,46
20, -C,141.33,0.5,60,43,71.66666667
20, -C,141.33,0.4,33,26,78.78787879
20, -C,148.67,0.5,59,38,64.40677966
20, -C,148.67,0.3,42,29,69.04761905
20, -C,148.67,0.5,47,24,51.06382979
20, -C,140,0.5,78,51,65.38461538
20, -C,140,0.5,40,27,67.5
20, -C,140,0.5,87,56,64.36781609
25, +C,145,0.5,50,37,74
25, +C,145,0.5,33,23,69.6969697
25, +C,145,0.5,36,29,80.55555556
25, +C,151.5,0.5,46,36,78.26086957
25, +C,151.5,0.5,45,42,93.33333333
25, +C,151.5,0.5,63,55,87.3015873
25, +C,151.5,0.5,65,50,76.92307692
25, +C,151.5,0.5,55,48,87.27272727
25, +C,151.5,0.5,71,61,85.91549296
25, -C,125,0.5,59,43,72.88135593
25, -C,125,0.5,44,21,47.72727273
25, -C,125,0.5,47,30,63.82978723
25, -C,142.93,0.5,60,44,73.33333333
25, -C,142.93,0.5,75,55,73.33333333
25, -C,142.93,0.5,47,30,63.82978723
25, -C,142.67,0.5,78,41,52.56410256
25, -C,142.67,0.5,67,31,46.26865672
25, -C,142.67,0.5,58,31,53.44827586
30, +C,147,0.5,74,57,77.02702703
30, +C,147,0.4,33,20,60.60606061
30, +C,147,0.5,67,57,85.07462687
30, +C,130.67,0.5,41,29,70.73170732
30, +C,130.67,0.5,61,43,70.49180328
30, +C,130.67,0.5,62,57,91.93548387
30, +C,141.5,0.5,65,48,73.84615385
30, +C,141.5,0.5,72,62,86.11111111
30, +C,141.5,0.5,64,50,78.125
30, -C,139,0.5,51,37,72.54901961
30, -C,139,0.5,55,41,74.54545455
30, -C,139,0.5,44,36,81.81818182
30, -C,158,0.5,54,41,75.92592593
30, -C,158,0.5,59,43,72.88135593
30, -C,158,0.5,63,36,57.14285714
30, -C,148.67,0.5,39,18,46.15384615
30, -C,148.67,0.5,64,36,56.25
30, -C,148.67,0.5,40,20,50